tax_period,tax_year,number_of_organizations,avg_program_expense_ratio,avg_administrative_expense_ratio,avg_fundraising_expense_ratio,avg_operating_margin,avg_asset_coverage_ratio
200812,2008,3,99.18%,0.008153264331,0,0.04857620056,0.5444911908
200905,2009,1,98.98%,0.01018662941,0,0.130341549,1.36944064
200906,2009,2,100.00%,0,0,0.08858081976,1.057660951
200907,2009,1,99.96%,0.000389958179,0,0.04196084112,4.084230967
200911,2009,1,98.85%,0.01148204495,0,0.8882892416,11.70106496
200912,2009,2,78.90%,0.2109960612,0,-0.06088648755,0.01532879289
201005,2010,1,99.24%,0.007623239038,0,-0.002564937057,1.425733288
201006,2010,2,100.00%,0,0,-0.03076787596,1.186442469
201007,2010,1,99.98%,0.0001730256667,0,-0.102324883,3.579919451
201012,2010,2,97.82%,0.02180635953,0,0.06294030572,8.57153674
201104,2011,1,100.00%,0,0,0.04915261446,2.572877414
201105,2011,1,99.22%,0.007751290219,0,-0.005549445244,1.319818359
201106,2011,2,100.00%,0,0,0.07376721502,1.228236468
201107,2011,1,99.97%,0.0002954892431,0,-0.1913033667,3.553837761
201108,2011,1,100.00%,0,0,0.1924959217,5.175757576
201112,2011,3,98.88%,0.01120575698,0,0.1089503491,6.168959019
201204,2012,1,100.00%,0,0,-0.002746950885,2.793983003
201206,2012,4,99.77%,0.002331527695,0,-0.3274785527,0.8909403678
201207,2012,1,99.98%,0.0001944095587,0,-0.166215487,3.449887048
201208,2012,2,100.00%,0,0,0.2266092958,3.252971313
201212,2012,5,98.17%,0.01827185378,0,0.1068813835,5.363577539
201306,2013,4,99.79%,0.002143907433,0,0.1769055952,1.189659622
201307,2013,1,99.98%,0.0001769147483,0,-0.177111013,3.064319126
201308,2013,2,100.00%,0,0,-0.2233006191,2.136788313
201312,2013,6,93.96%,0.06042934185,0,0.05226564476,7.628874074
201406,2014,6,98.73%,0.01273792394,0,-0.1408028077,3.115238945
201407,2014,1,99.98%,0.000189588863,0,-0.2149219914,3.111199672
201408,2014,2,100.00%,0,0,0.02794228709,2.573021861
201412,2014,15,97.88%,0.02123217411,0,-0.8863737227,6.359375886
201504,2015,1,100.00%,0,0,0.1717207839,0.5698126241
201505,2015,1,100.00%,0,0,0.2141305684,1.419190655
201506,2015,5,99.68%,0.003167400238,0,0.1581641732,2.268928696
201507,2015,1,99.99%,0.000123812902,0,-0.1883124371,2.49550258
201508,2015,3,100.00%,0,0,-0.1570536988,2.514187715
201509,2015,1,100.00%,0,0,-2.808485701,15.64461131
201512,2015,25,92.53%,0.07465712354,0,-0.1471569366,130.1510921
201606,2016,8,98.74%,0.01258572211,0,-1.491174014,7.102714657
201607,2016,1,99.97%,0.0002522731614,0,-0.114884846,2.563214248
201608,2016,3,100.00%,0,0,-0.1280785611,1.472195472
201609,2016,2,100.00%,0,0,-2.084506307,1.784191084
201612,2016,28,94.35%,0.056503224,0,-0.3872808658,153.5944544
201701,2017,1,95.71%,0.04291494666,0,0.1695122365,0.000008174275555
201704,2017,1,100.00%,0,0,0.03203361395,1.942029883
201705,2017,1,100.00%,0,0,-0.02007135825,0.006795859351
201706,2017,13,98.82%,0.01178964193,0,-0.06632972514,4.058277926
201707,2017,3,100.00%,0.00003689685544,0,-0.1069908842,0.8576134712
